Altium Designer Pick and Place Locations
C:\applications\hardware\pca10156\trunk\production_files\400708_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       26.08.24
Time:       20:04
Revision:   34389
Variant:    Normal
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L4","1.2nH","TopLayer","INDC0603X03L_C","105.4057","35.7303","0","Inductor, 1100mA, ±0.05nH, 40mOhm"
"C61","0.3pF","TopLayer","CAPC0603X03L_C","106.2000","36.0153","270","Capacitor, C0G, ±0.1pF, 50V"
"R3","0R","TopLayer","RESC0603X03L_C","103.1500","34.5750","0","Resistor, ±5%, 0.05W"
"C60","3.9pF","TopLayer","CAPC0603X03L_C","102.7733","35.1486","0","Capacitor, NP0, ±0.05pF, 25V"
"J3","USB-C 2.0","TopLayer","SD-80259-001","5.1000","24.1340","270","USB-C Receptacle, 16 Pin, USB 2.0"
"C59","10nF","TopLayer","CAPC1608X06L","8.1000","18.5519","0","Capacitor, X7R, ±10%, 100V"
"U11","ECMF02-4CMX8","TopLayer","UFDFN50P120X250X55-8N","11.0793","24.6332","0","2 Line Common mode filter with ESD protection for USB 2.0 interface"
"R38","150R","TopLayer","RESC0603X03L_C","48.5500","8.7845","0","Resistor, ±1%, 0.05W"
"R37","150R","TopLayer","RESC0603X03L_C","48.5500","11.0750","0","Resistor, ±1%, 0.05W"
"R9","150R","TopLayer","RESC0603X03L_C","48.5500","9.7762","0","Resistor, ±1%, 0.05W"
"R4","150R","TopLayer","RESC0603X03L_C","48.5500","10.4250","0","Resistor, ±1%, 0.05W"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","24.1418","56.7250","180","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"C58","4.7µF","TopLayer","CAPC1608X06L","21.8691","56.7000","180","Capacitor, X7S, ±10%, 10V"
"C57","100nF","TopLayer","CAPC0603X03L_C","24.3318","55.9882","0","Capacitor, X5R, ±10%"
"LOGO3","Segger Logo S","BottomLayer","SEGGER_LOGO_S","-148.0883","-174.6130","0","Segger logo, small size"
"LOGO2","WEE Symbol","BottomLayer","WEE_3x4.5mm","-148.0883","-174.6130","0","WEEE Directive symbol"
"C56","100nF","TopLayer","CAPC0603X03L_C","26.2856","45.3650","180","Capacitor, X5R, ±10%"
"U8","TXB0302","TopLayer","XFDFN40P180X120X40-8M","25.8783","24.9740","90","2-bit bidirectional voltage-level translator with automatic direction sensing"
"C15","100nF","TopLayer","CAPC0603X03L_C","24.4813","24.3490","270","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","20.7983","25.5848","270","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","27.1865","53.3613","90","Capacitor, X5R, ±10%"
"U4","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","47.7605","44.3710","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP3","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","29.6205","4.1250","180","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","23.6162","4.1250","180","1.5mm circular SMD testpad"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","24.4181","2.7092","0","CBL PLUG-OF-NAILS 10-PIN"
"R8","100k","TopLayer","RESC0603X03L_C","32.5163","22.0980","180","Resistor, ±1%, 0.05W"
"C48","100nF","TopLayer","CAPC0603X03L_C","9.8250","26.9500","270","Capacitor, X5R, ±10%"
"C30","10nF","TopLayer","CAPC0603X03L_C","9.2250","26.9500","90","Capacitor, X7R, ±10%"
"U6","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","52.2043","9.8000","0","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"R17","100k","TopLayer","RESC0603X03L_C","16.6681","13.6965","270","Resistor, ±1%, 0.05W"
"C54","4.7µF","TopLayer","CAPC1608X06L","11.8153","51.3363","90","Capacitor, X7S, ±10%, 10V"
"R34","0R","TopLayer","RESC1005X04L","90.9735","35.8300","180","Resistor, ±5%, 0.063W"
"R56","100k","TopLayer","RESC0603X03L_C","32.5163","25.2730","180","Resistor, ±1%, 0.05W"
"R55","100k","TopLayer","RESC0603X03L_C","32.5163","25.9080","180","Resistor, ±1%, 0.05W"
"R16","100k","TopLayer","RESC0603X03L_C","32.5163","23.3680","0","Resistor, ±1%, 0.05W"
"R15","100k","TopLayer","RESC0603X03L_C","32.5163","24.0030","0","Resistor, ±1%, 0.05W"
"R14","100k","TopLayer","RESC0603X03L_C","32.5163","24.6380","0","Resistor, ±1%, 0.05W"
"R13","100k","TopLayer","RESC0603X03L_C","32.5163","22.7330","0","Resistor, ±1%, 0.05W"
"P30","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","50.8000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P32","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","25.4000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P31","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","38.1000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P4","Pin List 1x3","TopLayer","LIST_1x3","94.5346","46.8800","0","Pin List 1x3, 2.54mm (100mil)"
"R36","1k","TopLayer","RESC0603X03L_C","10.7993","52.0113","270","Resistor, ±1%, 0.05W"
"Q6","PBSS4330PA","TopLayer","DFN105P200X65-3N_v2","19.5741","52.4863","180","30V, 3A, 2.1W, G=270, NPN Transistor"
"LABEL1","12x12mm","TopLayer","LabelSilk_12x12","-148.0883","-174.6130","0","PCA version label, stick-on, 12x12mm"
"L2","2.7nH","TopLayer","INDC0603X03L_C","102.7734","35.7301","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C9","0.6pF","TopLayer","CAPC0603X03L_C","104.6346","35.4453","90","Capacitor, C0G, ±0.1pF, 25V"
"L3","3.5nH","TopLayer","INDC0603X03L_C","103.8300","35.7303","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"R54","0R","TopLayer","RESC0603X03L_C","21.4491","41.9113","180","Resistor, ±5%, 0.05W"
"FB1","120R/0.2A","TopLayer","INDC0603X03L_C","98.6332","41.3169","270","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"C1","2.2µF","TopLayer","CAPC0603X03L_C","97.7204","39.4390","180","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C2","2.2µF","TopLayer","CAPC0603X03L_C","99.2935","41.3170","270","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"L1","4.7µH","TopLayer","INDC1608X06L","96.7281","40.7582","180","Inductor, 120mA, ±20%, 0.65R"
"C10","10µF","TopLayer","CAPC1005X04L","95.0771","40.3772","270","Capacitor, X6S, ±20%, 6.3V"
"C11","100nF","TopLayer","CAPC0603X03L_C","96.3217","39.4374","180","Capacitor, X5R, ±10%"
"C3","10µF","TopLayer","CAPC1005X04L","94.2389","40.3772","270","Capacitor, X6S, ±20%, 6.3V"
"C12","10nF","TopLayer","CAPC0603X03L_C","98.6331","39.7168","90","Capacitor, X7R, ±10%"
"C4","100nF","TopLayer","CAPC0603X03L_C","102.1637","38.5230","90","Capacitor, X5R, ±10%"
"C5","10nF","TopLayer","CAPC0603X03L_C","102.7733","36.7500","180","Capacitor, X7R, ±10%"
"X2","32MHz","TopLayer","BT-XTAL_2016","103.9925","39.2342","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C6","1.5pF","TopLayer","CAPC0603X03L_C","102.7733","36.2500","0","Capacitor, NP0, ±0.05pF, 25V, High Q"
"TP22","TP","TopLayer","S1751","37.3229","4.4944","270","PC TEST POINT TIN SMD L"
"TP13","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","45.4957","13.0556","90","1.5mm circular SMD testpad"
"C22","100nF","TopLayer","CAPC0603X03L_C","21.0923","11.2386","270","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","24.3435","11.2386","270","Capacitor, X5R, ±10%"
"C29","100nF","TopLayer","CAPC0603X03L_C","20.6991","49.3863","90","Capacitor, X5R, ±10%"
"C7","100nF","TopLayer","CAPC0603X03L_C","94.5183","33.8494","270","Capacitor, X5R, ±10%"
"C8","100nF","TopLayer","CAPC0603X03L_C","100.2842","31.5676","0","Capacitor, X5R, ±10%"
"R35","0R","TopLayer","RESC0603X03L_C","26.3991","52.4863","0","Resistor, ±5%, 0.05W"
"C52","100nF","TopLayer","CAPC0603X03L_C","25.1241","50.8613","0","Capacitor, X5R, ±10%"
"SB1","Solderbridge","TopLayer","Solderbridge","52.2051","6.4500","180","Solderbridge"
