Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10uF,,,C1,,,25,,,
2,1,1uF,,,C2,,,131,,,
3,1,4.7uF,,,C3,,,1684,,,
4,1,10uF,,,C4,,,137,,,
5,1,100nF,,,C5,,,149,,,
6,1,4.7uF,,,C6,,,1681,,,
7,1,22uF,,,C7,,,309,,,
8,1,22uF,,,C8,,,312,,,
9,1,22uF,,,C9,,,275,,,
10,1,4.7uF,,,C10,,,204,,,
11,1,10uF,,,C11,,,502,,,
12,1,10uF,,,C12,,,505,,,
13,1,47uF,,,C13,,,491,,,
14,1,47uF,,,C14,,,488,,,
15,1,10uF,,,C15,,,424,,,
16,1,100nF,,,C16,,,415,,,
17,1,1uF,,,C17,,,418,,,
18,1,10uF,,,C18,,,819,,,
19,1,10uF,,,C19,,,938,,,
20,1,10uF,,,C20,,,822,,,
21,1,10uF,,,C21,,,915,,,
22,1,10uF,,,C23,,,1310,,,
23,1,10uF,,,C24,,,1313,,,
24,1,100nF,,,C25,,,1316,,,
25,1,100nF,,,C26,,,1323,,,
26,1,100nF,,,C27,,,1329,,,
27,1,100nF,,,C28,,,1326,,,
28,1,2.2uF,,,C29,,,1350,,,
29,1,100nF,,,C30,,,1392,,,
30,1,2.2uF,,,C31,,,1358,,,
31,1,10nF,,,C32,,,1362,,,
32,1,18pF,,,C33,,,1365,,,
33,1,10uF,,,C34,,,1504,,,
34,1,18pF,,,C35,,,1444,,,
35,1,18pF,,,C36,,,1449,,,
36,1,10uF,,,C37,,,1837,,,
37,1,10uF,,,C38,,,1985,,,
38,1,DIODE,,,D1,,,395,,,
39,1,"120R, 0.2A",,,FB1,,,1354,,,
40,1,USB4105-GF-A,,USB4105-GF-A,J1,,,8,,,
41,1,2X3 HDR,,,J3,,,922,,,
42,1,2X5 HDR UNSHROUDED,,,J4,,,850,,,
43,1,2X3 HDR,,,J5,,,1507,,,
44,1,2X5 HDR JLINK,,,J6,,,1623,,,
45,1,HEADER 2/SM_5,,,J7,,,1807,,,
46,1,USB4105-GF-A,,USB4105-GF-A,J8,,,1817,,,
47,1,1uH,,,L1,,,142,,,
48,1,4.7uH,,,L2,,,1339,,,
49,1,SSM3J332R,,,MOSFET2,,,1803,,,
50,1,10K,,,R2,,,299,,,
51,1,10K,,,R3,,,302,,,
52,1,4K7,,,R4,,,234,,,
53,1,4K7,,,R5,,,237,,,
54,1,4K7,,,R6,,,161,,,
55,1,4K7,,,R7,,,158,,,
56,1,4K7,,,R8,,,164,,,
57,1,4K7,,,R9,,,167,,,
58,1,0R,,,R10,,,183,,,
59,1,1M,,,R11,,,186,,,
60,1,4K7,,,R12,,,192,,,
61,1,0R,,,R13,,,212,,,
62,1,10K,,,R14,,,208,,,
63,1,10K,,,R15,,,223,,,
64,1,4K7,,,R16,,,464,,,
65,1,1.05K,,,R17,,,460,,,
66,1,6.8K,,,R18,,,454,,,
67,1,4K7,,,R19,,,467,,,
68,1,4K7,,,R20,,,904,,,
69,1,4K7,,,R21,,,907,,,
70,1,4K7,,,R22,,,912,,,
71,1,1K,,,R23,,,1487,,,
72,1,4K7,,,R24,,,999,,,
73,1,1K,,,R25,,,1005,,,
74,1,1K,,,R26,,,1484,,,
75,1,4K7,,,R27,,,1377,,,
76,1,4K7,,,R28,,,1458,,,
77,1,4K7,,,R29,,,1461,,,
78,1,4K7,,,R30,,,1707,,,
79,1,1M,,,R31,,,1437,,,
80,1,10K,,,R32,,,1812,,,
81,1,10K,,,R33,,,1850,,,
82,1,10K,,,R34,,,1834,,,
83,1,SW_1POLE_2CONT,,,SW1,,,1677,,,
84,1,418117270904,,,SW5,,,1698,,,
85,1,SW_TC_SPST_1,,,SW6,,,716,,,
86,1,SW_TC_SPST_1,,,SW7,,,721,,,
87,1,SW_TC_SPST_1,,,SW8,,,1478,,,
88,1,TEST POINT_2,,,TP2,,,6,,,
89,1,TEST POINT_2,,,TP3,,,1656,,,
90,1,TEST POINT_2,,,TP4,,,743,,,
91,1,T POINT R,,,TP6,,,1872,,,
92,1,TEST POINT_2,,,TP12,,,1810,,,
93,1,TEST POINT_2,,,TP13,,,1848,,,
94,1,TEST POINT_2,,,TP14,,,1866,,,
95,1,TEST POINT_2,,,TP15,,,1868,,,
96,1,TEST POINT_2,,,TP16,,,1870,,,
97,1,T POINT R,,,TP17,,,1874,,,
98,1,T POINT R,,,TP18,,,1876,,,
99,1,T POINT R,,,TP19,,,1878,,,
100,1,TVS DIODE,,,U1,,,28,,,
101,1,BQ25886RGE,,,U2,,,83,,,
102,1,MYLSM00502ERPL,,,U3,,,315,,,
103,1,MYLSM00502ERPL,,,U4,,,431,,,
104,1,TPS7B8225QDGNRQ1,,,U5,,,398,,,
105,1,ESP32-S3-MINI,,,U6,,,509,,,
106,1,SIM8000L,,,U7,,,876,,,
107,1,IN-PI55QATPRPGPBPW-40,,,U8,,,1021,,,
108,1,IN-PI55QATPRPGPBPW-40,,,U9,,,1013,,,
109,1,IN-PI55QATPRPGPBPW-40,,,U10,,,1048,,,
110,1,IN-PI55QATPRPGPBPW-40,,,U11,,,1053,,,
111,1,BC818-40LT1G,,,U12,,,989,,,
112,1,AT-1224-TWT-5V-2-R,,,U13,,,993,,,
113,1,NRF54L15-QFAA-R,RF System on a Chip - SoC Ultra-low power Bluetooth Multiprotocol 5.4 SoC System-on-Chip,,U14,,,1243,,,
114,1,TVS DIODE,,,U15,,,1840,,,
115,1,32 MHz,,,X1,,,1421,,,
